"","Team","GP","TOI","W","L","OTL","ROW","Points","Point %","CF","CA","CF%","FF","FA","FF%","SF","SA","SF%","GF","GA","GF%","xGF","xGA","xGF%","SCF","SCA","SCF%","SCSF","SCSA","SCSF%","SCGF","SCGA","SCGF%","SCSH%","SCSV%","HDCF","HDCA","HDCF%","HDSF","HDSA","HDSF%","HDGF","HDGA","HDGF%","HDSH%","HDSV%","MDCF","MDCA","MDCF%","MDSF","MDSA","MDSF%","MDGF","MDGA","MDGF%","MDSH%","MDSV%","LDCF","LDCA","LDCF%","LDSF","LDSA","LDSF%","LDGF","LDGA","LDGF%","LDSH%","LDSV%","SH%","SV%","PDO"
"12","Buffalo Sabres","56","3420.0833","15","34","7","11","37","0.330","2772","3199","46.42","2184","2559","46.05","1592","1889","45.73","134","196","40.61","131.89","160.21","45.15","1272","1507","45.77","774","940","45.16","100","148","40.32","12.92","84.26","566","627","47.44","418","478","46.65","63","93","40.38","15.07","80.54","706","880","44.51","356","462","43.52","37","55","40.22","10.39","88.10","1327","1508","46.81","743","859","46.38","29","40","42.03","3.90","95.34","8.42","89.62","0.980"
"27","Anaheim Ducks","56","3400.1833","17","30","9","15","43","0.384","2910","3099","48.43","2157","2363","47.72","1500","1713","46.69","124","177","41.20","127.48","156.06","44.96","1362","1579","46.31","803","1000","44.54","105","152","40.86","13.08","84.80","545","673","44.75","394","502","43.97","69","105","39.66","17.51","79.08","817","906","47.42","409","498","45.09","36","47","43.37","8.80","90.56","1296","1334","49.28","591","654","47.47","18","20","47.37","3.05","96.94","8.27","89.67","0.979"
"14","New Jersey Devils","56","3402.9333","19","30","7","19","45","0.402","2989","2964","50.21","2263","2349","49.07","1613","1739","48.12","145","189","43.41","137.93","153.74","47.29","1421","1467","49.20","851","963","46.91","117","154","43.17","13.75","84.01","530","591","47.28","392","480","44.95","71","103","40.80","18.11","78.54","891","876","50.42","459","483","48.73","46","51","47.42","10.02","89.44","1415","1354","51.10","708","724","49.44","26","28","48.15","3.67","96.13","8.99","89.13","0.981"
"20","Detroit Red Wings","56","3403.1333","19","27","10","17","48","0.429","2655","3142","45.80","2033","2422","45.63","1528","1786","46.11","125","168","42.66","127.34","145.49","46.67","1231","1481","45.39","762","926","45.14","99","139","41.60","12.99","84.99","480","589","44.90","387","451","46.18","64","92","41.03","16.54","79.60","751","892","45.71","375","475","44.12","35","47","42.68","9.33","90.11","1197","1444","45.32","659","783","45.70","22","22","50.00","3.34","97.19","8.18","90.59","0.988"
"21","Columbus Blue Jackets","56","3419.8167","18","26","12","15","48","0.429","2785","3237","46.25","2159","2448","46.86","1625","1815","47.24","134","184","42.14","119.63","150.03","44.36","1239","1483","45.52","800","937","46.06","99","151","39.60","12.38","83.88","473","585","44.71","356","459","43.68","64","99","39.26","17.98","78.43","766","898","46.03","444","478","48.16","35","52","40.23","7.88","89.12","1325","1542","46.22","750","790","48.70","33","28","54.10","4.40","96.46","8.25","89.86","0.981"
"25","San Jose Sharks","56","3409.2833","21","28","7","16","49","0.438","3041","3292","48.02","2316","2480","48.29","1682","1791","48.43","146","196","42.69","154.11","158.3","49.33","1551","1579","49.55","962","959","50.08","120","158","43.17","12.47","83.52","654","663","49.66","502","472","51.54","82","105","43.85","16.33","77.75","897","916","49.48","460","487","48.57","38","53","41.76","8.26","89.12","1266","1485","46.02","634","745","45.98","22","34","39.29","3.47","95.44","8.68","89.06","0.977"
"30","Los Angeles Kings","56","3390.6","21","28","7","20","49","0.438","2891","3167","47.72","2196","2421","47.56","1588","1746","47.63","142","169","45.66","141.84","161.95","46.69","1345","1620","45.36","804","971","45.30","118","140","45.74","14.68","85.58","572","650","46.81","411","473","46.49","88","86","50.57","21.41","81.82","773","970","44.35","393","498","44.11","30","54","35.71","7.63","89.16","1324","1320","50.08","699","675","50.87","16","23","41.03","2.29","96.59","8.94","90.32","0.993"
"7","Vancouver Canucks","56","3389.2333","23","29","4","20","50","0.446","2965","3370","46.80","2238","2565","46.60","1629","1870","46.56","148","187","44.18","137.3","174.16","44.08","1421","1811","43.97","819","1091","42.88","123","156","44.09","15.02","85.70","537","682","44.05","380","504","42.99","71","103","40.80","18.68","79.56","884","1129","43.91","439","587","42.79","52","53","49.52","11.85","90.97","1305","1358","49.00","700","707","49.75","21","24","46.67","3.00","96.61","9.09","90.00","0.991"
"31","Ottawa Senators","56","3392.0833","23","28","5","21","51","0.455","3036","3285","48.03","2323","2478","48.39","1663","1799","48.04","155","189","45.06","142.79","152.71","48.32","1497","1609","48.20","885","945","48.36","129","156","45.26","14.58","83.49","612","627","49.39","439","462","48.72","90","86","51.14","20.50","81.39","885","982","47.40","446","483","48.01","39","70","35.78","8.74","85.51","1308","1448","47.46","679","770","46.86","20","28","41.67","2.95","96.36","9.32","89.49","0.988"
"26","Arizona Coyotes","56","3399.3167","24","26","6","21","54","0.482","2923","3126","48.32","2186","2366","48.02","1538","1707","47.40","150","174","46.30","138.02","157.57","46.69","1344","1559","46.30","803","939","46.10","123","143","46.24","15.32","84.77","571","630","47.54","398","459","46.44","67","90","42.68","16.83","80.39","773","929","45.42","405","480","45.76","56","53","51.38","13.83","88.96","1378","1377","50.02","664","688","49.11","25","22","53.19","3.77","96.80","9.75","89.81","0.996"
